Timestamp,Age Group,Gender,Preferred Tool,Satisfaction,Feedback
2026-03-31 22:58:34,18-24,Female,Excel,3,Very useful for my job.
2026-03-22 02:46:34,35-44,Female,R,3,Basic features are lacking.
2026-04-12 06:52:34,25-34,Female,Python,5,Basic features are lacking.
2026-03-22 00:24:34,18-24,Female,Python,5,Could be faster.
2026-04-19 00:44:34,45+,Non-Binary,Power BI,5,Basic features are lacking.
2026-03-28 17:00:34,25-34,Male,Python,5,Could be faster.
2026-03-28 19:03:34,35-44,Male,Tableau,3,Basic features are lacking.
2026-04-18 03:33:34,25-34,Female,Tableau,2,Could be faster.
2026-04-19 07:29:34,18-24,Female,Python,5,I love the open source community.
2026-04-08 20:46:34,35-44,Male,Python,5,Could be faster.
2026-04-11 00:31:34,45+,Female,Tableau,4,Very useful for my job.
2026-04-12 05:34:34,45+,Male,Excel,5,I love the open source community.
2026-03-29 12:02:34,18-24,Male,Tableau,3,Could be faster.
2026-04-06 14:55:34,25-34,Female,R,3,Basic features are lacking.
2026-03-21 19:16:34,25-34,Female,Excel,4,Could be faster.
2026-04-02 09:14:34,25-34,Female,Excel,4,Could be faster.
2026-04-03 17:48:34,25-34,Female,Tableau,4,Could be faster.
2026-04-09 23:27:34,18-24,Male,R,4,Basic features are lacking.
2026-04-06 04:10:34,18-24,Male,Excel,5,Basic features are lacking.
2026-03-27 10:30:34,45+,Male,R,3,Needs better UI.
2026-04-03 21:09:34,45+,Non-Binary,Excel,3,Could be faster.
2026-04-11 17:47:34,35-44,Female,R,1,Steep learning curve.
2026-04-15 02:44:34,25-34,Male,R,3,Very useful for my job.
2026-03-28 06:13:34,35-44,Female,Excel,2,Basic features are lacking.
2026-04-15 08:20:34,18-24,Male,Tableau,3,Basic features are lacking.
2026-04-06 05:01:34,45+,Female,Python,5,Very useful for my job.
2026-03-31 11:16:34,45+,Male,Power BI,4,Could be faster.
2026-03-25 08:52:34,25-34,Female,R,3,I love the open source community.
2026-04-05 17:05:34,18-24,Female,Excel,2,Steep learning curve.
2026-03-26 02:11:34,25-34,Male,Power BI,3,Best tool on the market.
2026-04-16 17:28:34,25-34,Female,Power BI,5,Best tool on the market.
2026-03-25 11:31:34,18-24,Female,R,3,Very useful for my job.
2026-03-26 12:51:34,35-44,Female,Power BI,4,"Great tool, highly recommended!"
2026-04-15 15:17:34,18-24,Female,Power BI,5,Best tool on the market.
2026-04-09 22:01:34,45+,Female,Python,5,Basic features are lacking.
2026-04-18 11:46:34,35-44,Female,Excel,3,Basic features are lacking.
2026-03-28 12:37:34,35-44,Male,Python,5,Very useful for my job.
2026-04-04 04:42:34,45+,Male,Power BI,3,Very useful for my job.
2026-03-31 13:32:34,35-44,Non-Binary,R,1,Could be faster.
2026-04-06 08:18:34,35-44,Male,Python,5,Best tool on the market.
2026-04-03 22:21:34,18-24,Male,Tableau,3,I love the open source community.
2026-03-27 21:04:34,35-44,Female,Excel,4,Steep learning curve.
2026-04-13 20:43:34,45+,Female,Excel,4,Basic features are lacking.
2026-03-20 17:37:34,45+,Non-Binary,R,5,Could be faster.
2026-03-21 16:30:34,45+,Female,Tableau,3,Best tool on the market.
2026-04-06 16:06:34,18-24,Male,Excel,3,Could be faster.
2026-04-14 03:35:34,18-24,Male,Power BI,5,Steep learning curve.
2026-04-01 08:30:34,18-24,Male,Tableau,2,Could be faster.
2026-04-16 10:55:34,18-24,Male,Python,4,I love the open source community.
2026-04-01 01:47:34,35-44,Female,R,1,Basic features are lacking.
2026-04-05 16:14:34,18-24,Male,Excel,2,Basic features are lacking.
2026-04-06 05:21:34,25-34,Male,Power BI,5,Could be faster.
2026-03-26 03:51:34,35-44,Female,Power BI,5,Basic features are lacking.
2026-04-12 09:31:34,45+,Female,Excel,4,Could be faster.
2026-04-10 18:38:34,35-44,Female,Python,4,Basic features are lacking.
2026-03-29 12:02:34,25-34,Female,Power BI,4,Basic features are lacking.
2026-03-26 07:52:34,45+,Male,R,2,Needs better UI.
2026-04-08 13:19:34,25-34,Male,Excel,3,I love the open source community.
2026-03-25 04:56:34,25-34,Male,Power BI,5,Basic features are lacking.
2026-04-17 14:58:34,18-24,Female,Power BI,5,Steep learning curve.
2026-04-07 01:54:34,45+,Female,Excel,4,Very useful for my job.
2026-04-04 08:33:34,35-44,Female,Excel,3,Basic features are lacking.
2026-03-26 22:29:34,35-44,Male,Excel,5,Best tool on the market.
2026-04-11 21:56:34,45+,Male,Excel,4,Best tool on the market.
2026-03-29 18:48:34,45+,Female,Tableau,3,Could be faster.
2026-04-19 19:30:34,18-24,Male,Python,5,Could be faster.
2026-04-19 05:53:34,35-44,Female,R,3,Steep learning curve.
2026-04-16 08:29:34,35-44,Male,Power BI,4,Steep learning curve.
2026-03-27 16:54:34,25-34,Female,Python,4,Needs better UI.
2026-04-03 01:57:34,45+,Male,R,4,"Great tool, highly recommended!"
2026-04-20 09:11:34,25-34,Male,Tableau,1,Basic features are lacking.
2026-04-09 22:00:34,35-44,Male,Python,4,Needs better UI.
2026-04-10 09:26:34,18-24,Female,R,1,Basic features are lacking.
2026-04-17 21:11:34,18-24,Non-Binary,Tableau,1,Basic features are lacking.
2026-03-26 15:07:34,35-44,Female,Python,5,Best tool on the market.
2026-04-08 10:18:34,35-44,Male,Power BI,5,Basic features are lacking.
2026-04-17 20:06:34,45+,Male,Python,4,Could be faster.
2026-03-26 14:41:34,35-44,Female,Python,3,Could be faster.
2026-04-15 00:48:34,25-34,Male,Tableau,3,I love the open source community.
2026-04-06 01:17:34,45+,Female,R,3,Very useful for my job.
2026-04-05 02:11:34,25-34,Male,Tableau,2,Steep learning curve.
2026-04-03 23:33:34,35-44,Female,Power BI,4,"Great tool, highly recommended!"
2026-03-29 11:35:34,25-34,Male,Python,4,Basic features are lacking.
2026-03-29 20:37:34,35-44,Female,Excel,4,Could be faster.
2026-04-08 22:26:34,25-34,Male,Tableau,3,Could be faster.
2026-04-03 13:47:34,45+,Female,R,1,Steep learning curve.
2026-04-11 11:07:34,18-24,Female,Power BI,4,Could be faster.
2026-03-23 09:19:34,18-24,Female,Power BI,5,Steep learning curve.
2026-04-08 08:21:34,25-34,Male,Power BI,5,Basic features are lacking.
2026-03-24 12:25:34,45+,Male,Power BI,5,Basic features are lacking.
2026-04-14 16:41:34,25-34,Female,Tableau,3,"Great tool, highly recommended!"
2026-04-07 05:55:34,35-44,Female,Tableau,2,Could be faster.
2026-04-15 15:59:34,25-34,Female,Python,3,I love the open source community.
2026-04-01 13:16:34,18-24,Female,Python,5,Basic features are lacking.
2026-03-22 00:38:34,25-34,Female,Tableau,1,Could be faster.
2026-04-18 03:40:34,45+,Male,Power BI,5,Very useful for my job.
2026-04-10 02:19:34,25-34,Non-Binary,Tableau,5,Very useful for my job.
2026-04-12 23:05:34,18-24,Female,Excel,4,Basic features are lacking.
2026-04-11 14:46:34,45+,Female,R,3,Steep learning curve.
2026-04-04 02:21:34,35-44,Male,Python,5,"Great tool, highly recommended!"
2026-04-15 12:38:34,18-24,Male,Python,4,Needs better UI.
2026-04-08 16:40:34,18-24,Male,Python,5,I love the open source community.
2026-04-03 22:46:34,25-34,Female,Python,5,Very useful for my job.
2026-04-06 00:26:34,35-44,Female,Excel,3,Steep learning curve.
2026-03-29 19:54:34,25-34,Male,Excel,5,"Great tool, highly recommended!"
2026-04-07 10:08:34,25-34,Female,Tableau,5,Basic features are lacking.
2026-03-22 02:53:34,45+,Female,Excel,3,I love the open source community.
2026-04-02 19:31:34,45+,Male,Power BI,3,Basic features are lacking.
2026-03-27 22:31:34,25-34,Female,Python,4,I love the open source community.
2026-04-20 04:47:34,25-34,Male,Excel,2,Steep learning curve.
2026-03-31 11:17:34,45+,Female,Python,3,Steep learning curve.
2026-03-21 23:36:34,18-24,Female,R,3,Steep learning curve.
2026-04-04 22:07:34,35-44,Male,Python,3,Steep learning curve.
2026-04-18 21:59:34,18-24,Female,Tableau,3,Steep learning curve.
2026-04-12 10:57:34,25-34,Male,R,4,Could be faster.
2026-04-14 00:36:34,45+,Female,Excel,2,Could be faster.
2026-03-29 02:44:34,45+,Male,Tableau,4,Could be faster.
2026-04-18 21:35:34,35-44,Male,Power BI,4,Steep learning curve.
2026-04-12 19:13:34,35-44,Female,Power BI,4,I love the open source community.
2026-03-29 19:24:34,35-44,Male,Power BI,5,Steep learning curve.
2026-04-05 08:53:34,35-44,Male,Tableau,3,Basic features are lacking.
2026-04-03 20:58:34,35-44,Male,Power BI,5,Basic features are lacking.
2026-03-26 08:53:34,18-24,Female,Python,5,"Great tool, highly recommended!"
2026-04-13 15:38:34,25-34,Female,R,4,Needs better UI.
2026-04-11 19:12:34,25-34,Female,Excel,3,"Great tool, highly recommended!"
2026-04-09 11:54:34,45+,Female,Python,4,"Great tool, highly recommended!"
2026-04-07 08:38:34,18-24,Male,Excel,4,Best tool on the market.
2026-03-21 08:04:34,45+,Female,R,4,Needs better UI.
2026-04-18 18:45:34,25-34,Male,Power BI,5,Best tool on the market.
2026-04-16 02:29:34,45+,Male,Tableau,3,Basic features are lacking.
2026-04-07 22:56:34,25-34,Male,Python,4,"Great tool, highly recommended!"
2026-03-23 03:36:34,45+,Female,Python,5,"Great tool, highly recommended!"
2026-04-11 20:17:34,45+,Female,Excel,3,Needs better UI.
2026-04-18 08:10:34,18-24,Male,Power BI,5,Basic features are lacking.
2026-03-28 17:11:34,18-24,Female,Excel,5,"Great tool, highly recommended!"
2026-03-26 01:13:34,25-34,Female,Tableau,3,Needs better UI.
